feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_5_std_cos,-0.010057463201797895,-0.010057463201797895,0.0,-0.010057463201797895,-0.010057463201797895,0.010057463201797895,0.010057463201797895,1.0,1,1.0,1,0.031311100954143856,0.031311100954143856,0.0,0.031311100954143856,0.031311100954143856,0.031311100954143856,0.031311100954143856,1.0,1,1.0
sensor_17_avg,-0.007929880188753746,-0.007929880188753746,0.0,-0.007929880188753746,-0.007929880188753746,0.007929880188753746,0.007929880188753746,1.0,1,1.0,1,-0.017766234842580223,-0.017766234842580223,0.0,-0.017766234842580223,-0.017766234842580223,0.017766234842580223,0.017766234842580223,1.0,1,1.0
sensor_31_max,0.005979613223873112,0.005979613223873112,0.0,0.005979613223873112,0.005979613223873112,0.005979613223873112,0.005979613223873112,1.0,1,1.0,1,0.024788225563421883,0.024788225563421883,0.0,0.024788225563421883,0.024788225563421883,0.024788225563421883,0.024788225563421883,1.0,1,1.0
power_29_max,0.0059618845291355,0.0059618845291355,0.0,0.0059618845291355,0.0059618845291355,0.0059618845291355,0.0059618845291355,1.0,1,1.0,1,0.0033187730662788497,0.0033187730662788497,0.0,0.0033187730662788497,0.0033187730662788497,0.0033187730662788497,0.0033187730662788497,1.0,1,1.0
sensor_5_std_sin,0.004937101807263461,0.004937101807263461,0.0,0.004937101807263461,0.004937101807263461,0.004937101807263461,0.004937101807263461,1.0,1,1.0,1,-0.031311100954143856,-0.031311100954143856,0.0,-0.031311100954143856,-0.031311100954143856,0.031311100954143856,0.031311100954143856,1.0,1,1.0
sensor_15_avg,-0.003688594846590533,-0.003688594846590533,0.0,-0.003688594846590533,-0.003688594846590533,0.003688594846590533,0.003688594846590533,1.0,1,1.0,1,-0.015252793518160184,-0.015252793518160184,0.0,-0.015252793518160184,-0.015252793518160184,0.015252793518160184,0.015252793518160184,1.0,1,1.0
sensor_1_avg_cos,0.0032396069825859023,0.0032396069825859023,0.0,0.0032396069825859023,0.0032396069825859023,0.0032396069825859023,0.0032396069825859023,1.0,1,1.0,1,0.013155574060960067,0.013155574060960067,0.0,0.013155574060960067,0.013155574060960067,0.013155574060960067,0.013155574060960067,1.0,1,1.0
sensor_42_avg_cos,-0.003101374888439509,-0.003101374888439509,0.0,-0.003101374888439509,-0.003101374888439509,0.003101374888439509,0.003101374888439509,1.0,1,1.0,1,0.012280346950433578,0.012280346950433578,0.0,0.012280346950433578,0.012280346950433578,0.012280346950433578,0.012280346950433578,1.0,1,1.0
sensor_26_avg,-0.0027914242126607044,-0.0027914242126607044,0.0,-0.0027914242126607044,-0.0027914242126607044,0.0027914242126607044,0.0027914242126607044,1.0,1,1.0,1,-0.001414694055557263,-0.001414694055557263,0.0,-0.001414694055557263,-0.001414694055557263,0.001414694055557263,0.001414694055557263,1.0,0,0.0
sensor_16_avg,0.002227463010719587,0.002227463010719587,0.0,0.002227463010719587,0.002227463010719587,0.002227463010719587,0.002227463010719587,1.0,1,1.0,1,-0.01041587246983141,-0.01041587246983141,0.0,-0.01041587246983141,-0.01041587246983141,0.01041587246983141,0.01041587246983141,1.0,1,1.0
